IP;MAC Address;Host Name;Phone DN;App Load ID;Boot Load ID;Version;Hardware Revision;Serial Number;Model Number;Message Waiting;UDI;1;2;3;4;Time;Time Zone;Date;System Free Memory;Java Heap Free Memory;Java Pool Free Memory
10.159.188.41;001B54951122;SEP001B54951122;7868;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11148FF6;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11148FF6;6:43:10p;Asia/Riyadh;20/09/15;10750800;1601460;549480
10.159.188.43;24B6574595BF;SEP24B6574595BF;7859;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542AV1Z;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542AV1Z;6:43:35p;Asia/Riyadh;20/09/15;10750800;1640468;556280
10.159.188.44;8CB64FF6846D;SEP8CB64FF6846D;7843;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH15028QL9;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH15028QL9;6:43:27p;Asia/Riyadh;20/09/15;10730320;1555092;529152
10.159.188.45;24B6574597E7;SEP24B6574597E7;7853;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542AVJ7;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542AVJ7;6:43:30p;Asia/Riyadh;20/09/15;10791760;1606604;531120
10.159.188.46;E840400D34D7;SEPE840400D34D7;8517;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH15129HPK;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH15129HPK;6:43:37p;Asia/Riyadh;20/09/15;10939216;1702612;601552
10.159.188.47;2C3F38C9FF93;SEP2C3F38C9FF93;7854;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH154284EV;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH154284EV;6:43:36p;Asia/Riyadh;20/09/15;10947408;1739384;601352
10.159.188.49;1CAA07114A2A;SEP1CAA07114A2A;7847;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1515866W;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1515866W;6:43:59p;Asia/Riyadh;20/09/15;10820432;1690912;556848
10.159.188.50;8CB64F57303E;SEP8CB64F57303E;8732;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH14529GWE;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH14529GWE;6:43:56p;Asia/Riyadh;20/09/15;10771280;1650052;541176
10.159.188.51;001BD512E89A;SEP001BD512E89A;8760;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208F1H;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208F1H;6:43:58p;Asia/Riyadh;20/09/15;10955600;1711016;604000
10.159.188.52;001BD4A05C8A;SEP001BD4A05C8A;7804;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11179FKR;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11179FKR;6:44:03p;Asia/Riyadh;20/09/15;10754896;1641676;531968
10.159.188.53;00270DBEDB05;SEP00270DBEDB05;8719;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428W6D;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428W6D;6:43:57p;Asia/Riyadh;20/09/15;10283856;1601324;537136
10.159.188.54;24B657459988;SEP24B657459988;8775;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542AVWG;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542AVWG;6:44:02p;Asia/Riyadh;20/09/15;10693456;1693356;553672
10.159.188.55;B4A4E3299A71;SEPB4A4E3299A71;7850;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1437AX20;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1437AX20;6:43:53p;Asia/Riyadh;20/09/15;10971984;1712056;603920
10.159.188.56;00270DBEDA43;SEP00270DBEDA43;8728;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428W0P;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428W0P;6:43:56p;Asia/Riyadh;20/09/15;10955600;1729264;601056
10.159.188.57;00270DBEDC50;SEP00270DBEDC50;8769;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428WG4;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428WG4;6:43:56p;Asia/Riyadh;20/09/15;10697552;1701924;549840
10.159.188.58;001BD4A02532;SEP001BD4A02532;7829;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178ZUN;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178ZUN;6:44:02p;Asia/Riyadh;20/09/15;10754896;1657328;540744
10.159.188.59;00270DBFD5CD;SEP00270DBFD5CD;8753;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH1343812H;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH1343812H;6:43:59p;Asia/Riyadh;20/09/15;10713936;1693556;559936
10.159.188.60;001BD512D611;SEP001BD512D611;7805;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208AXY;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208AXY;6:44:04p;Asia/Riyadh;20/09/15;10824528;1632480;557176
10.159.188.61;3037A6178110;SEP3037A6178110;8770;jar42sccp.9-0-3TH1-22.sbn;tnp62.8-3-1-21a.bin;SCCP42.9-0-3S;11.0;FCH1407965W;CP-7962G;No;phone;Cisco Unified IP Phone 7962G, Global;CP-7962G;V06;FCH1407965W;6:43:57p;Asia/Riyadh;20/09/15;7324320;2732560;469312
10.159.188.62;001BD4A02FA3;SEP001BD4A02FA3;8786;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH1117925A;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH1117925A;6:44:05p;Asia/Riyadh;20/09/15;10804048;1630892;535544
10.159.188.64;001BD512EA7E;SEP001BD512EA7E;7889;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208FFR;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208FFR;6:44:00p;Asia/Riyadh;20/09/15;10701648;1598348;548624
10.159.188.65;001BD512D5A1;SEP001BD512D5A1;7880;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208AUN;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208AUN;6:44:02p;Asia/Riyadh;20/09/15;10894160;1680144;606824
10.159.188.66;00270DBED9C5;SEP00270DBED9C5;8727;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428VWZ;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428VWZ;6:44:06p;Asia/Riyadh;20/09/15;10947408;1719924;600832
10.159.188.68;001BD512D594;SEP001BD512D594;8776;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208AU9;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208AU9;6:44:10p;Asia/Riyadh;20/09/15;10824528;1632588;531600
10.159.188.69;001BD4A060C4;SEP001BD4A060C4;8791;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11179GHK;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11179GHK;6:44:06p;Asia/Riyadh;20/09/15;10738512;1681604;557136
10.159.188.70;00270DBEDA40;SEP00270DBEDA40;7879;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428W0L;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428W0L;6:44:10p;Asia/Riyadh;20/09/15;10939216;1766840;580240
10.159.188.71;24B65745355E;SEP24B65745355E;7863;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542A6SB;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542A6SB;6:44:07p;Asia/Riyadh;20/09/15;10775376;1686412;547968
10.159.188.72;A4563041F933;SEPA4563041F933;8516;jar45sccp.9-0-3TH1-22.sbn;tnp65.8-3-1-21a.bin;SCCP45.9-0-3S;12.0;FCH16038TKU;CP-7965G;No;phone;Cisco Unified IP Phone 7965G, Global, Gig Ethernet, Color;CP-7965G;V11;FCH16038TKU;6:44:09p;Asia/Riyadh;20/09/15;5681824;2616500;219224
10.159.188.73;00269942ACF3;SEP00269942ACF3;8725;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13438SCQ;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13438SCQ;6:44:07p;Asia/Riyadh;20/09/15;10955600;1702648;611768
10.159.188.74;1C17D34060B8;SEP1C17D34060B8;8767;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH141789WA;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH141789WA;6:44:08p;Asia/Riyadh;20/09/15;10955600;1699256;593104
10.159.188.75;001BD49FF5B4;SEP001BD49FF5B4;8790;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178PB2;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178PB2;6:44:13p;Asia/Riyadh;20/09/15;10824528;1661800;530936
10.159.188.76;24B6574597E8;SEP24B6574597E8;7844;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;9.1;FCH1542AVJ8;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V09;FCH1542AVJ8;6:44:10p;Asia/Riyadh;20/09/15;10333008;1663704;532560
10.159.188.77;001BD49FF55D;SEP001BD49FF55D;8522;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178P8H;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178P8H;6:44:04p;Asia/Riyadh;20/09/15;10824528;1771108;567416
10.159.188.78;001BD512D6F7;SEP001BD512D6F7;8799;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208B4Q;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208B4Q;6:44:09p;Asia/Riyadh;20/09/15;10816336;1712916;547032
10.159.188.79;001BD47E09D6;SEP001BD47E09D6;7806;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178JPX;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178JPX;6:44:09p;Asia/Riyadh;20/09/15;10672976;1639916;531496
10.159.188.80;1C17D340611F;SEP1C17D340611F;7895;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH141789ZB;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH141789ZB;6:44:17p;Asia/Riyadh;20/09/15;10742608;1562012;537120
10.159.188.81;00269942AD38;SEP00269942AD38;8730;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13438SER;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13438SER;6:44:15p;Asia/Riyadh;20/09/15;10955600;1717340;592368
10.159.188.82;00270DBEE248;SEP00270DBEE248;8716;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428XT2;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428XT2;6:44:08p;Asia/Riyadh;20/09/15;10955600;1730036;603536
10.159.188.83;081FF3622E0C;SEP081FF3622E0C;8747;jar42sccp.9-0-3TH1-22.sbn;tnp42.8-3-1-21a.bin;SCCP42.9-0-3S;11.0;FCH14118VHR;CP-7942G;No;phone;Cisco Unified IP Phone 7942G, Global;CP-7942G;V06;FCH14118VHR;6:44:16p;Asia/Riyadh;20/09/15;7262880;2657136;410040
10.159.188.84;00270DBED9B2;SEP00270DBED9B2;8901;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428VWE;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428VWE;6:44:13p;Asia/Riyadh;20/09/15;10947408;1691600;600992
10.159.188.85;FCFBFB10D7BA;SEPFCFBFB10D7BA;8709;jar42sccp.9-0-3TH1-22.sbn;tnp42.8-3-1-21a.bin;SCCP42.9-0-3S;11.0;FCH14098DHX;CP-7942G;No;phone;Cisco Unified IP Phone 7942G, Global;CP-7942G;V06;FCH14098DHX;6:44:08p;Asia/Riyadh;20/09/15;7348896;2840672;470224
10.159.188.86;001BD512D5DC;SEP001BD512D5DC;8762;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208AWD;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208AWD;6:44:11p;Asia/Riyadh;20/09/15;10836816;1648320;554168
10.159.188.87;1C17D340718F;SEP1C17D340718F;7878;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH14178DM8;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH14178DM8;6:44:17p;Asia/Riyadh;20/09/15;10763088;1671332;539704
10.159.188.88;001BD47E0984;SEP001BD47E0984;7876;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178JMH;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178JMH;6:44:14p;Asia/Riyadh;20/09/15;10746704;1624708;538960
10.159.188.89;001BD512D8F8;SEP001BD512D8F8;8771;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;7.1;FCH11208BKT;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V03;FCH11208BKT;6:44:17p;Asia/Riyadh;20/09/15;10947408;1709564;613032
10.159.188.90;001BD4A06227;SEP001BD4A06227;7815;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11179GU0;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11179GU0;6:44:15p;Asia/Riyadh;20/09/15;10873680;1703400;592760
10.159.188.91;00270DBFA6BB;SEP00270DBFA6BB;8700;jar75sccp.8-3-1-22.sbn;tnp75.8-3-4-16BN01.bin;SCCP75.8-3-2S;10.0;FCH1342A8D6;CP-7975G;No;phone;Cisco Unified IP Phone 7975G, Global, Gig Ethernet, Color;CP-7975G;V07;FCH1342A8D6;6:44:16p;Saudi Arabia Standard Time;20/09/15
10.159.188.92;00269942ACCB;SEP00269942ACCB;8704;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13438SBJ;CP-7911G;Yes;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13438SBJ;6:44:19p;Asia/Riyadh;20/09/15;10963792;1694864;601856
10.159.188.93;001BD47E0946;SEP001BD47E0946;7891;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178JKP;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178JKP;6:44:15p;Asia/Riyadh;20/09/15;10939216;1693964;601896
10.159.188.94;001BD4A025D3;SEP001BD4A025D3;8735;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11178ZZD;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11178ZZD;6:44:17p;Asia/Riyadh;20/09/15;10963792;1701452;601272
10.159.188.95;00270DBEDCAD;SEP00270DBEDCAD;8773;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-33.bin;SCCP11.9-0-3S;8.2;FCH13428WJV;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V08;FCH13428WJV;6:44:22p;Asia/Riyadh;20/09/15;10730320;1706836;558864
10.159.188.96;001BD4A05D71;SEP001BD4A05D71;7828;jar11sccp.9-0-3TH1-22.sbn;tnp11.3-0-1-23.bin;SCCP11.9-0-3S;5.1;FCH11179FSJ;CP-7911G;No;phone;Cisco Unified IP Phone 7911G, Global;CP-7911G;V02;FCH11179FSJ;6:44:24p;Asia/Riyadh;20/09/15;10947408;1723992;593088
10.159.188.97;00270DBF9982;SEP00270DBF9982;8748;jar42sccp.8-5-2TH1-9.sbn;tnp42.8-3-1-21a.bin;SCCP42.8-5-2S;11.0;FCH1342A5FM;CP-7942G;No;phone;Cisco Unified IP Phone 7942G, Global;CP-7942G;V06;FCH1342A5FM;6:44:17p;20/09/15;8298496;2737056;134152
10.159.188.98;8478ACE7E34B;SEP8478ACE7E34B;8755;jar45sccp.9-0-3TH1-22.sbn;tnp65.9-3-1-48.bin;SCCP45.9-0-3S;12.0;FCH16498A37;CP-7965G;No;phone;Cisco Unified IP Phone 7965G, Global, Gig Ethernet, Color;CP-7965G;V11;FCH16498A37;6:44:19p;Asia/Riyadh;20/09/15;5673632;2659804;219120
